Today''s Date,07/24/2020,Date of Test:,07/23/2020,Filename:,C:\Maccor\System\University at Buffalo # 1\Archive\GS_236_007A.059,Procedure,GS_236_007A.000,,SCap,1,C Rate
Rec#,Cyc#,Step,TestTime,StepTime,mAmp-hr,Watt-hr,mAmps,Volts,State,ES,DPt Time
273,0,2,9,8.422244444,1.01,0.00,0.12,0.65,D,1,7/24/2020 2:51
274,0,2,9,8.455577778,1.01,0.00,0.12,0.65,D,1,7/24/2020 2:53
275,0,2,9,8.488911111,1.02,0.00,0.12,0.65,D,1,7/24/2020 2:55
276,0,2,9,8.522244444,1.02,0.00,0.12,0.64,D,1,7/24/2020 2:57
277,0,2,9,8.555577778,1.03,0.00,0.12,0.64,D,1,7/24/2020 2:59
278,0,2,9,8.588911111,1.03,0.00,0.12,0.64,D,1,7/24/2020 3:01
279,0,2,9,8.622244444,1.03,0.00,0.12,0.63,D,1,7/24/2020 3:03
280,0,2,9,8.655577778,1.04,0.00,0.12,0.63,D,1,7/24/2020 3:05
281,0,2,9,8.688911111,1.04,0.00,0.12,0.63,D,1,7/24/2020 3:07
282,0,2,9,8.722244444,1.05,0.00,0.12,0.63,D,1,7/24/2020 3:09
283,0,2,9,8.755577778,1.05,0.00,0.12,0.62,D,1,7/24/2020 3:11
284,0,2,9,8.788911111,1.05,0.00,0.12,0.62,D,1,7/24/2020 3:13
285,0,2,9,8.822244444,1.06,0.00,0.12,0.62,D,1,7/24/2020 3:15
286,0,2,9,8.855577778,1.06,0.00,0.12,0.62,D,1,7/24/2020 3:17
287,0,2,9,8.888911111,1.07,0.00,0.12,0.61,D,1,7/24/2020 3:19
288,0,2,9,8.922244444,1.07,0.00,0.12,0.61,D,1,7/24/2020 3:21
289,0,2,9,8.955577778,1.07,0.00,0.12,0.61,D,1,7/24/2020 3:23
290,0,2,9,8.988911111,1.08,0.00,0.12,0.61,D,1,7/24/2020 3:25
