C:\Maccor\System\University at Buffalo # 1\Archive\MV20789-1.094,Procedure,MV207-89 Cycling.000,,SCap,1
mAmp-hr,Watt-hr,mAmps,Volts,State,ES
0.2033370504,0.00,0.30,0.39,C,1
0.2125667085,0.00,0.30,0.40,C,5
0.2215014303,0.00,0.30,0.41,C,5
0.2305027942,0.00,0.30,0.43,C,5
0.2382993212,0.00,0.30,0.44,C,5
0.2461975044,0.00,0.30,0.45,C,5
0.2539615245,0.00,0.30,0.46,C,5
0.2610872935,0.00,0.30,0.47,C,5
0.2676406360,0.00,0.30,0.48,C,5
0.2738031987,0.00,0.30,0.49,C,5
0.2794549896,0.00,0.30,0.50,C,5
0.2848109803,0.00,0.30,0.51,C,5
0.2896728592,0.00,0.30,0.52,C,5
0.2943097811,0.00,0.30,0.53,C,5
0.2988725375,0.00,0.30,0.54,C,5
0.3031161663,0.00,0.30,0.55,C,5
0.3072364852,0.00,0.30,0.56,C,5
0.3109893509,0.00,0.30,0.57,C,5
0.3148113692,0.00,0.30,0.58,C,5
0.3181159523,0.00,0.30,0.59,C,5
0.3215530247,0.00,0.30,0.60,C,5
0.3246043080,0.00,0.30,0.61,C,5
0.3276680933,0.00,0.30,0.62,C,5
0.3306277222,0.00,0.30,0.63,C,5
0.3334248680,0.00,0.30,0.64,C,5
0.3360886985,0.00,0.30,0.65,C,5
0.3387333691,0.00,0.30,0.66,C,5
0.3413830378,0.00,0.30,0.67,C,5
0.3438493952,0.00,0.30,0.68,C,5
0.3461966008,0.00,0.30,0.69,C,5
0.3485587990,0.00,0.30,0.70,C,5
0.3509143356,0.00,0.30,0.71,C,5
0.3533140376,0.00,0.30,0.72,C,5
0.3554521064,0.00,0.30,0.73,C,5
0.3574468577,0.00,0.30,0.74,C,5
0.3594832727,0.00,0.30,0.75,C,5
0.3615105136,0.00,0.30,0.76,C,5
0.3633844426,0.00,0.30,0.77,C,5
0.3652567033,0.00,0.30,0.78,C,5
0.3671114701,0.00,0.30,0.79,C,5
0.3688537522,0.00,0.30,0.80,C,5
0.3706351917,0.00,0.30,0.81,C,5
0.3724282992,0.00,0.30,0.82,C,5
0.3741330837,0.00,0.30,0.83,C,5
0.3757678812,0.00,0.30,0.84,C,5
0.3774835014,0.00,0.30,0.85,C,5
0.3790508089,0.00,0.30,0.86,C,5
0.3807614236,0.00,0.30,0.87,C,5
0.3821337535,0.00,0.30,0.88,C,5
0.3835694070,0.00,0.30,0.89,C,5
0.3850000596,0.00,0.30,0.90,C,5
0.3863907185,0.00,0.30,0.91,C,5
0.3878255380,0.00,0.30,0.92,C,5
0.3891953644,0.00,0.30,0.93,C,5
0.3906018563,0.00,0.30,0.94,C,5
0.3919850202,0.00,0.30,0.95,C,5
0.3933331836,0.00,0.30,0.96,C,5
0.3946130216,0.00,0.30,0.97,C,5
